heldout,k_real_train_experiments,train_experiments,method,representation,n_real_train_windows,n_aug,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330G,6,TS0330H+TS0330A+TS0330B+TS0330C+TS0330D+TS0330E,classical_anchor_matched,fusion_absolute,219,39,31,7,0.7142857142857143,0.7751152073732719,0.4761904761904761,0.6696428571428572
TS0330G,6,TS0330H+TS0330A+TS0330B+TS0330C+TS0330D+TS0330E,racdiff,temperature,219,39,31,7,1.0,0.9999999999999998,0.8235294117647058,0.9375
TS0330G,6,TS0330H+TS0330A+TS0330B+TS0330C+TS0330D+TS0330E,racdiff,fusion_absolute,219,39,31,7,0.9940476190476192,0.982142857142857,0.6666666666666666,0.8541666666666667
TS0330H,2,TS0330A+TS0330B,real_only,temperature,82,0,33,15,1.0,1.0,0.75,0.8
TS0330H,2,TS0330A+TS0330B,real_only,fusion_absolute,82,0,33,15,1.0,1.0,0.0,0.5
TS0330H,2,TS0330A+TS0330B,classical_anchor_matched,temperature,82,82,33,15,1.0,1.0,0.6956521739130435,0.7666666666666666
TS0330H,2,TS0330A+TS0330B,classical_anchor_matched,fusion_absolute,82,82,33,15,1.0,1.0,0.0,0.5
TS0330H,2,TS0330A+TS0330B,racdiff,temperature,82,82,33,15,1.0,1.0,0.75,0.8
TS0330H,2,TS0330A+TS0330B,racdiff,fusion_absolute,82,82,33,15,1.0,1.0,0.0,0.5
TS0330H,4,TS0330A+TS0330B+TS0330C+TS0330D,real_only,temperature,147,0,33,15,0.9962962962962962,0.9958333333333332,0.6956521739130435,0.7666666666666666
TS0330H,4,TS0330A+TS0330B+TS0330C+TS0330D,real_only,fusion_absolute,147,0,33,15,0.9703703703703704,0.969438301636444,0.5714285714285714,0.7
TS0330H,4,TS0330A+TS0330B+TS0330C+TS0330D,classical_anchor_matched,temperature,147,9,33,15,1.0,1.0,0.75,0.8
TS0330H,4,TS0330A+TS0330B+TS0330C+TS0330D,classical_anchor_matched,fusion_absolute,147,9,33,15,0.974074074074074,0.9742002063983488,0.6363636363636364,0.7333333333333334
TS0330H,4,TS0330A+TS0330B+TS0330C+TS0330D,racdiff,temperature,147,9,33,15,1.0,1.0,0.75,0.8
TS0330H,4,TS0330A+TS0330B+TS0330C+TS0330D,racdiff,fusion_absolute,147,9,33,15,0.9851851851851852,0.9844444444444445,0.6363636363636364,0.7333333333333334
TS0330H,6,TS0330A+TS0330B+TS0330C+TS0330D+TS0330E+TS0330F,real_only,temperature,219,0,33,15,1.0,1.0,0.75,0.8
TS0330H,6,TS0330A+TS0330B+TS0330C+TS0330D+TS0330E+TS0330F,real_only,fusion_absolute,219,0,33,15,0.9666666666666668,0.96531131750946,0.8571428571428571,0.8722222222222222
TS0330H,6,TS0330A+TS0330B+TS0330C+TS0330D+TS0330E+TS0330F,classical_anchor_matched,temperature,219,4,33,15,1.0,1.0,0.75,0.8
TS0330H,6,TS0330A+TS0330B+TS0330C+TS0330D+TS0330E+TS0330F,classical_anchor_matched,fusion_absolute,219,4,33,15,0.974074074074074,0.9728696741854636,0.896551724137931,0.9055555555555556
TS0330H,6,TS0330A+TS0330B+TS0330C+TS0330D+TS0330E+TS0330F,racdiff,temperature,219,4,33,15,1.0,1.0,0.75,0.8
TS0330H,6,TS0330A+TS0330B+TS0330C+TS0330D+TS0330E+TS0330F,racdiff,fusion_absolute,219,4,33,15,0.9851851851851852,0.9844444444444445,0.896551724137931,0.9055555555555556
