heldout,train_experiments,method,representation,n_real_train_windows,n_aug,n_aug_positive,n_aug_negative,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330C,TS0330H+TS0330A,racdiff,pressure_absolute,74,24,4,20,33,3,0.6333333333333333,0.1477124183006536,0.24,0.6833333333333333
TS0330C,TS0330H+TS0330A,racdiff,pressure_shape,74,24,4,20,33,3,0.7888888888888889,0.2492063492063492,0.3333333333333333,0.7166666666666667
TS0330C,TS0330H+TS0330A,racdiff,fusion_absolute,74,24,4,20,33,3,1.0,1.0,0.3333333333333333,0.8
TS0330C,TS0330H+TS0330A,racdiff,fusion_shape,74,24,4,20,33,3,1.0,1.0,0.3,0.7666666666666666
TS0330D,TS0330A+TS0330B,real_only,temperature,82,0,0,0,32,7,1.0,1.0,0.7777777777777778,0.92
TS0330D,TS0330A+TS0330B,real_only,pressure_absolute,82,0,0,0,32,7,0.4799999999999999,0.4401322625824523,0.3076923076923077,0.4857142857142857
TS0330D,TS0330A+TS0330B,real_only,pressure_shape,82,0,0,0,32,7,0.6342857142857142,0.5070075757575757,0.3076923076923077,0.5628571428571428
TS0330D,TS0330A+TS0330B,real_only,fusion_absolute,82,0,0,0,32,7,0.9142857142857144,0.7869880119880119,0.6666666666666666,0.7971428571428572
TS0330D,TS0330A+TS0330B,real_only,fusion_shape,82,0,0,0,32,7,0.7942857142857143,0.6956800144300145,0.6,0.7885714285714285
TS0330D,TS0330A+TS0330B,classical_classmatched,temperature,82,18,8,10,32,7,1.0,1.0,0.7368421052631579,0.9
TS0330D,TS0330A+TS0330B,classical_classmatched,pressure_absolute,82,18,8,10,32,7,0.6914285714285714,0.6780719280719281,0.358974358974359,0.5
TS0330D,TS0330A+TS0330B,classical_classmatched,pressure_shape,82,18,8,10,32,7,0.4,0.4208363570857507,0.3333333333333333,0.5828571428571429
TS0330D,TS0330A+TS0330B,classical_classmatched,fusion_absolute,82,18,8,10,32,7,1.0,1.0,0.4444444444444444,0.6428571428571428
